багц,асуулт,сонголт 1,сонголт 2,сонголт 3,сонголт 4,зөв (1-4),оноо
Present Simple 1 · Positive,She ___ to school every day.,go,goes,going,went,2,10
Present Simple 1 · Positive,They ___ football on Sundays.,play,plays,playing,played,1,10
Present Simple 1 · Positive,My father ___ coffee in the morning.,drink,drinks,drinking,drank,2,10
Present Simple 1 · Positive,We ___ in Ulaanbaatar.,live,lives,living,lived,1,10
Present Simple 1 · Positive,The shop ___ at 9 o'clock.,open,opens,opening,opened,2,10
Present Simple 1 · Positive,I ___ English twice a week.,study,studies,studying,studied,1,10
Present Simple 1 · Positive,He ___ his homework after dinner.,do,does,doing,did,2,10
Present Simple 1 · Positive,Cats ___ milk.,like,likes,liking,liked,1,10
Present Simple 1 · Positive,My sister ___ the piano.,play,plays,playing,played,2,10
Present Simple 1 · Positive,You ___ very fast.,run,runs,running,ran,1,10
Present Simple 1 · Positive,The bus ___ at 7:30.,leave,leaves,leaving,left,2,10
Present Simple 1 · Positive,Children ___ to bed early.,go,goes,going,went,1,10
Present Simple 1 · Positive,It ___ a lot in summer.,rain,rains,raining,rained,2,10
Present Simple 1 · Positive,Our teacher ___ us new words.,teach,teaches,teaching,taught,2,10
Present Simple 1 · Positive,I ___ up at six o'clock.,get,gets,getting,got,1,10
Present Simple 2 · Negative,She ___ like fish.,don't,doesn't,isn't,not,2,10
Present Simple 2 · Negative,They ___ live here.,don't,doesn't,aren't,not,1,10
Present Simple 2 · Negative,He ___ speak Chinese.,don't,doesn't,isn't,no,2,10
Present Simple 2 · Negative,I ___ have a car.,don't,doesn't,am not,no,1,10
Present Simple 2 · Negative,My brother ___ eat meat.,don't,doesn't,isn't,not,2,10
Present Simple 2 · Negative,We ___ work on Sunday.,don't,doesn't,aren't,not,1,10
Present Simple 2 · Negative,It ___ rain here in winter.,don't,doesn't,isn't,not,2,10
Present Simple 2 · Negative,You ___ need a ticket.,don't,doesn't,aren't,no,1,10
Present Simple 2 · Negative,The shop ___ open on Monday.,don't,doesn't,isn't,not,2,10
Present Simple 2 · Negative,Cats ___ like water.,don't,doesn't,aren't,not,1,10
Present Simple 2 · Negative,She doesn't ___ TV in the morning.,watch,watches,watching,watched,1,10
Present Simple 2 · Negative,They don't ___ up early.,wake,wakes,waking,woke,1,10
Present Simple 2 · Negative,He doesn't ___ his room.,clean,cleans,cleaning,cleaned,1,10
Present Simple 2 · Negative,I don't ___ tea.,drink,drinks,drinking,drank,1,10
Present Simple 2 · Negative,My parents ___ use the internet much.,don't,doesn't,aren't,not,1,10
Present Simple 3 · Questions,___ she like music?,Do,Does,Is,Are,2,10
Present Simple 3 · Questions,___ they play chess?,Do,Does,Is,Are,1,10
Present Simple 3 · Questions,___ your father work here?,Do,Does,Is,Are,2,10
Present Simple 3 · Questions,Where ___ you live?,do,does,is,are,1,10
Present Simple 3 · Questions,What time ___ the film start?,do,does,is,are,2,10
Present Simple 3 · Questions,___ I need a visa?,Do,Does,Am,Is,1,10
Present Simple 3 · Questions,How often ___ he go to the gym?,do,does,is,are,2,10
Present Simple 3 · Questions,___ your friends speak English?,Do,Does,Is,Are,1,10
Present Simple 3 · Questions,Does she ___ in a bank?,work,works,working,worked,1,10
Present Simple 3 · Questions,Do they ___ breakfast at home?,eat,eats,eating,ate,1,10
Present Simple 3 · Questions,___ it snow in October?,Do,Does,Is,Are,2,10
Present Simple 3 · Questions,Why ___ you study English?,do,does,is,are,1,10
Present Simple 3 · Questions,Does the bus ___ here?,stop,stops,stopping,stopped,1,10
Present Simple 3 · Questions,___ we start now?,Do,Does,Is,Are,1,10
Present Simple 3 · Questions,What ___ your sister do?,do,does,is,are,2,10
Present Simple 4 · -s spelling,He ___ his teeth every morning.,brush,brushs,brushes,brushies,3,10
Present Simple 4 · -s spelling,She ___ dinner every evening.,cook,cookes,cooks,cooking,3,10
Present Simple 4 · -s spelling,My mother ___ the dishes.,wash,washs,washes,washies,3,10
Present Simple 4 · -s spelling,The baby ___ at night.,cry,crys,cries,cryes,3,10
Present Simple 4 · -s spelling,He ___ to music on the bus.,listen,listens,listenes,listening,2,10
Present Simple 4 · -s spelling,She ___ a bus to work.,catch,catchs,catches,catchies,3,10
Present Simple 4 · -s spelling,It ___ ten kilos.,weigh,weighs,weighes,weighing,2,10
Present Simple 4 · -s spelling,He ___ his homework alone.,do,dos,does,doies,3,10
Present Simple 4 · -s spelling,She ___ English well.,speak,speaks,speakes,speaking,2,10
Present Simple 4 · -s spelling,My dad ___ a taxi.,drive,drivs,drives,driving,3,10
Present Simple 4 · -s spelling,The cat ___ on the sofa.,sleep,sleeps,sleepes,sleeping,2,10
Present Simple 4 · -s spelling,He ___ films at the weekend.,watch,watchs,watches,watchies,3,10
Present Simple 4 · -s spelling,She ___ to Spain every year.,fly,flys,flies,flyes,3,10
Present Simple 4 · -s spelling,He ___ the door at eight.,close,closs,closes,closing,3,10
Present Simple 4 · -s spelling,She ___ two languages.,know,knows,knowes,knowing,2,10
Present Simple 5 · Frequency,I ___ go to bed before midnight.,usually,usual,usualy,using,1,10
Present Simple 5 · Frequency,He is ___ tired in the morning.,often,oftenly,ofen,oftener,1,10
Present Simple 5 · Frequency,They ___ eat meat. They are vegetarian.,never,ever,always,sometimes,1,10
Present Simple 5 · Frequency,We go swimming ___ a week.,two times,twice,two time,second,2,10
Present Simple 5 · Frequency,She ___ drinks coffee at night.,hardly ever,hard ever,hardly never,no ever,1,10
Present Simple 5 · Frequency,___ I walk to work.,Sometimes,Sometime,Some time,Some times,1,10
Present Simple 5 · Frequency,He ___ at home on Sundays.,is always,always is,is alwais,always,1,10
Present Simple 5 · Frequency,My brother plays computer games ___.,every day,everyday,every days,each days,1,10
Present Simple 5 · Frequency,How ___ do you see them?,often,many,much,long,1,10
Present Simple 5 · Frequency,I ___ have breakfast at seven.,usually,usually am,am usually,usual,1,10
Present Simple 5 · Frequency,She ___ forgets her keys.,sometimes,sometime,some times,some time,1,10
